symbol,name
IDEA,Vodafone Idea
YESBANK,Yes Bank
PNB,Punjab National Bank
SUZLON,Suzlon Energy
IRFC,Indian Railway Finance Corporation
NHPC,NHPC
TATASTEEL,Tata Steel
SAIL,Steel Authority of India
BANKBARODA,Bank of Baroda
IOC,Indian Oil Corporation
GAIL,GAIL India
ONGC,Oil and Natural Gas Corporation
WIPRO,Wipro
FEDERALBNK,Federal Bank
CANBK,Canara Bank
NMDC,NMDC
ASHOKLEY,Ashok Leyland
ZEEL,Zee Entertainment Enterprises
BHEL,Bharat Heavy Electricals
ITC,ITC
BEL,Bharat Electronics
NATIONALUM,National Aluminium Company
HINDCOPPER,Hindustan Copper
RELIANCE,Reliance Industries
TCS,Tata Consultancy Services
INFY,Infosys
HDFCBANK,HDFC Bank
ICICIBANK,ICICI Bank
SBIN,State Bank of India
AXISBANK,Axis Bank
KOTAKBANK,Kotak Mahindra Bank
LT,Larsen and Toubro
HINDUNILVR,Hindustan Unilever
BHARTIARTL,Bharti Airtel
MARUTI,Maruti Suzuki
TITAN,Titan Company
ULTRACEMCO,UltraTech Cement
NTPC,NTPC
POWERGRID,Power Grid Corporation
COALINDIA,Coal India
ADANIPORTS,Adani Ports
GRASIM,Grasim Industries
JSWSTEEL,JSW Steel
TECHM,Tech Mahindra
HCLTECH,HCL Technologies
DRREDDY,Dr Reddy's Laboratories
CIPLA,Cipla
SUNPHARMA,Sun Pharmaceutical Industries
DIVISLAB,Divi's Laboratories
BAJAJFINSV,Bajaj Finserv
BAJFINANCE,Bajaj Finance
HDFCLIFE,HDFC Life Insurance
SBILIFE,SBI Life Insurance
HEROMOTOCO,Hero MotoCorp
EICHERMOT,Eicher Motors
BRITANNIA,Britannia Industries
NESTLEIND,Nestle India
TATACONSUM,Tata Consumer Products
APOLLOHOSP,Apollo Hospitals
